state,City,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Station Name,Operator,Usage Type,Connector Type,Power (kW),station_id,location,charging_type,num_chargers,voltage_level,current_flow,power_consumed,power_loss,voltage_fluctuation
Andaman and Nicobar Islands,Port Blair,10069,15644,2731,12177,15812,46377,1784,34629,FastCharge,Ather Energy,Private,GB/T,181,19,Highway,Fast,21,656.41,157.45,103.35,2.32,14.04
Manipur,Imphal,37299,40435,27566,35996,19678,9668,40004,7165,Charge Point,Fortum,Commercial,GB/T,181,20,Semi-Urban,Ultra Fast,15,636.37,407.14,259.09,25.8,5.7
Manipur,Imphal,26841,16409,25827,5027,9845,22979,44219,26639,Green Charge,Fortum,Private,GB/T,305,21,Urban,Fast,1,468.37,54.83,25.68,2.02,3.24
Telangana,Hyderabad,2134,32661,26134,35600,47453,25208,22722,279,FastCharge,ChargeZone,Commercial,Type 2,73,22,Urban,Ultra Fast,11,577.39,250.02,144.36,10.9,3.52
Tripura,Agartala,16937,29942,23561,30727,46107,7678,5349,4651,FastCharge,Ather Energy,Private,Type 2,343,23,Rural,Fast,16,375.12,427.41,160.33,14.52,9.8
Chhattisgarh,Bhilai,6975,32996,42152,34965,27471,17775,41177,11711,Power Station,ChargeZone,Private,CCS,75,24,Rural,Slow,5,336.74,494.14,166.4,16.35,3.36
Jharkhand,Jamshedpur,37506,7681,33674,34952,9632,33641,48168,5835,EV Hub,IOCL,Public,Type 2,280,25,Semi-Urban,Fast,5,526.75,40.56,21.36,0.41,0.41
Manipur,Imphal,27374,33276,9613,29941,8137,5045,15255,445,Charge Point,Fortum,Commercial,CHAdeMO,321,26,Rural,Slow,48,534.2,382.77,204.48,9.16,6.18
Jharkhand,Ranchi,31155,38436,39884,5993,43589,26271,39605,42571,Charge Point,Tata Power,Private,Type 2,192,27,Highway,Fast,6,786.34,181.64,142.83,8.4,13.24
Arunachal Pradesh,Itanagar,43174,36847,442,15974,6960,135,48295,29236,EV Hub,Ather Energy,Private,Type 2,96,28,Semi-Urban,Slow,12,670.38,350.89,235.23,4.08,3.83
Dadra and Nagar Haveli and Daman and Diu,Daman,25512,48055,25663,35900,33730,26612,31508,38006,Green Charge,EVRE,Commercial,CCS,90,29,Rural,Ultra Fast,4,319.13,266.91,85.18,6.04,0.67
Delhi,New Delhi,10612,47234,32449,17386,11254,21861,34420,43586,Green Charge,Ather Energy,Private,Type 2,182,30,Highway,Fast,5,746.47,118.48,88.44,5.52,1.49
Rajasthan,Udaipur,218,8476,49209,25459,49864,5737,36732,20836,EV Hub,ChargeZone,Private,Type 2,244,31,Semi-Urban,Slow,2,442.59,228.75,101.24,4.09,5.06
Andhra Pradesh,Guntur,34092,41700,11998,31259,39047,43734,4509,3664,FastCharge,BPCL,Public,CHAdeMO,222,32,Rural,Fast,48,323.04,470.96,152.14,7.48,5.26
Telangana,Hyderabad,5452,1732,42543,1989,41555,7606,32195,18148,Charge Point,Fortum,Commercial,CHAdeMO,36,33,Semi-Urban,Slow,44,694.24,44.68,31.02,1.52,8.8
Dadra and Nagar Haveli and Daman and Diu,Silvassa,14828,17164,24866,37091,20783,18588,3623,45631,EV Hub,BPCL,Public,CCS,318,34,Semi-Urban,Fast,41,352.33,439.32,154.79,4.45,9.57
Andaman and Nicobar Islands,Port Blair,35948,25923,41067,33797,17532,38641,10940,34148,Green Charge,ChargeZone,Commercial,CCS,273,35,Highway,Ultra Fast,32,715.57,239.26,171.21,15.96,11.08
Lakshadweep,Kavaratti,7274,1005,43790,10568,36071,22073,6589,1287,EV Hub,ChargeZone,Private,Type 2,107,36,Highway,Fast,31,369.96,454.71,168.22,11.56,10.62
Haryana,Gurgaon,37418,26316,39380,2054,28307,37557,24476,20303,Charge Point,BPCL,Public,CHAdeMO,258,37,Semi-Urban,Ultra Fast,2,424.1,205.72,87.25,1.24,2.42
Kerala,Kochi,3111,49197,49519,30105,48951,47855,40457,14775,EV Hub,IOCL,Public,CHAdeMO,97,38,Urban,Slow,9,519.26,233.33,121.16,5.02,11.86
Delhi,New Delhi,12929,5903,4633,48058,43325,36586,19167,42231,EV Hub,Ather Energy,Commercial,CCS,213,39,Urban,Slow,21,292.73,368.01,107.73,7.39,9.38
Mizoram,Aizawl,20939,41147,6459,22769,8825,29921,42821,20582,EV Hub,EVRE,Private,CCS,169,40,Highway,Slow,40,782.04,104.16,81.46,7.81,8.1
Uttar Pradesh,Lucknow,47272,32345,47785,20459,22646,34636,34606,25979,Green Charge,BPCL,Commercial,GB/T,342,41,Urban,Ultra Fast,21,290.04,483.87,140.34,11.27,4.23
Arunachal Pradesh,Itanagar,36627,41187,6650,21967,9089,13887,15867,19356,Charge Point,ChargeZone,Commercial,Type 2,76,42,Semi-Urban,Ultra Fast,48,516.73,193.95,100.22,8.72,5.71
Chandigarh,Chandigarh,12228,40330,18742,30602,5682,49928,47025,47094,EV Hub,Tata Power,Commercial,CHAdeMO,321,43,Rural,Fast,6,556.19,400.39,222.69,10.35,14.76
Delhi,New Delhi,38964,23190,28516,29321,41669,3889,34157,11496,Charge Point,BPCL,Commercial,Type 2,24,44,Rural,Slow,37,457.11,347.04,158.64,14.72,7.73
West Bengal,Kolkata,26891,28673,27351,46309,35581,34722,48234,23335,Power Station,IOCL,Private,Type 2,225,45,Highway,Ultra Fast,15,796.74,303.4,241.73,15.73,0.75
Tamil Nadu,Chennai,16923,7711,1231,11139,40981,933,17790,14822,Power Station,BPCL,Public,Type 2,294,46,Urban,Ultra Fast,48,778.06,390.94,304.17,5.9,10.84
Meghalaya,Shillong,7561,47887,32227,14077,39381,33437,3377,47920,Green Charge,ChargeZone,Commercial,CHAdeMO,153,47,Highway,Slow,13,730.14,211.94,154.75,2.84,9.55
Gujarat,Surat,47333,16172,24595,27447,26538,42924,3818,28745,EV Hub,EVRE,Private,Type 2,192,48,Semi-Urban,Slow,42,550.44,76.18,41.93,1.39,8.34
Nagaland,Kohima,198,25049,3966,4554,17967,33614,39333,30199,EV Hub,Tata Power,Commercial,CCS,240,49,Semi-Urban,Slow,30,289.17,68.36,19.77,0.4,5.76
Gujarat,Surat,16821,982,22062,14758,21598,31804,31019,20474,FastCharge,EVRE,Public,Type 2,15,50,Urban,Ultra Fast,44,241.4,184.21,44.47,3.97,6.83
Rajasthan,Jaipur,45196,40625,41533,7496,39929,28897,19680,21254,Charge Point,Ather Energy,Commercial,CHAdeMO,328,51,Rural,Fast,45,307.13,115.9,35.6,0.55,4.85
Delhi,New Delhi,5274,18770,10319,49426,36074,33287,16895,26331,Green Charge,ChargeZone,Public,CCS,334,52,Urban,Fast,45,406.03,135.93,55.19,2.86,9.65
Delhi,New Delhi,28327,9442,30306,2399,12368,40295,18974,34066,FastCharge,Ather Energy,Private,GB/T,26,53,Rural,Ultra Fast,26,222.65,398.37,88.7,1.26,10.1
Arunachal Pradesh,Itanagar,34230,12639,35659,44771,14207,45420,28876,44750,Green Charge,Ather Energy,Private,Type 2,320,54,Highway,Fast,13,233.88,55.92,13.08,0.61,11.23
Jammu and Kashmir,Srinagar,17294,15269,16892,19188,32592,3235,13473,9983,Power Station,ChargeZone,Public,CCS,335,55,Highway,Ultra Fast,41,295.17,494.69,146.02,14.17,8.54
Assam,Silchar,22992,29960,7842,5212,25501,46308,40527,18352,Power Station,Fortum,Private,CHAdeMO,305,56,Highway,Slow,13,450.08,479.07,215.62,9.16,13.11
Odisha,Cuttack,2710,832,20347,8410,33129,38384,1976,20152,Green Charge,BPCL,Private,CCS,85,57,Rural,Ultra Fast,24,631.98,337.79,213.48,13.9,13.19
Uttar Pradesh,Noida,9019,43046,25014,45124,42037,35640,48657,8566,FastCharge,ChargeZone,Public,GB/T,166,58,Urban,Ultra Fast,38,313.16,79.18,24.8,0.93,6.56
Tamil Nadu,Chennai,28741,17075,11116,5054,23366,2422,10367,10000,EV Hub,EVRE,Public,Type 2,130,59,Rural,Slow,39,674.52,410.14,276.65,5.65,10.07
Lakshadweep,Kavaratti,44961,1369,46556,17107,29404,38262,30867,6450,Charge Point,EVRE,Private,CHAdeMO,274,60,Highway,Fast,16,612.41,419.02,256.61,13.92,13.92
Odisha,Cuttack,34873,23583,19644,10019,43965,7394,11861,1845,FastCharge,Ather Energy,Public,GB/T,320,61,Semi-Urban,Ultra Fast,8,755.14,231.72,174.98,6.62,6.8
Telangana,Hyderabad,3407,3185,33647,46084,49546,21946,38066,17582,EV Hub,Fortum,Public,GB/T,62,62,Semi-Urban,Ultra Fast,24,509.24,310.18,157.96,15.29,11.96
Maharashtra,Nagpur,7790,21401,3327,8477,17458,3646,12791,44281,Power Station,EVRE,Public,Type 2,168,63,Rural,Fast,44,756.97,283.7,214.75,13.82,13.35
Telangana,Hyderabad,21894,22549,16258,36380,34149,25418,23349,8876,EV Hub,Tata Power,Public,Type 2,335,64,Urban,Slow,48,413.29,446.37,184.48,7,7.98
Ladakh,Leh,372,4833,48023,43218,19588,34673,42398,7025,Charge Point,Ather Energy,Public,GB/T,303,65,Rural,Slow,9,274.28,395.19,108.39,1.61,9.51
Rajasthan,Udaipur,48804,21996,30048,31404,31822,37778,12925,41165,Charge Point,BPCL,Commercial,GB/T,240,66,Highway,Fast,27,690.64,490.77,338.95,11.63,2.78
Dadra and Nagar Haveli and Daman and Diu,Daman,33888,24276,44585,44755,19948,10714,45371,34230,Green Charge,Tata Power,Commercial,CCS,130,67,Semi-Urban,Ultra Fast,3,614.05,26.32,16.16,0.74,9.1
Ladakh,Leh,2743,39112,47782,24308,11228,47937,14852,44429,EV Hub,BPCL,Public,CHAdeMO,148,68,Semi-Urban,Ultra Fast,11,461.13,478.26,220.54,13.77,8.87
Himachal Pradesh,Shimla,16469,26796,42051,25200,32072,34639,41695,38653,Power Station,BPCL,Private,CHAdeMO,171,69,Highway,Slow,24,427.91,418.46,179.06,7.56,6.48
Punjab,Ludhiana,16659,3414,33962,43880,42499,18541,5400,28244,Power Station,EVRE,Public,CCS,347,70,Semi-Urban,Ultra Fast,48,577.9,473.85,273.84,18.07,7.67
Sikkim,Gangtok,45898,33493,33003,41901,42882,29717,37713,4543,Charge Point,EVRE,Public,CCS,232,71,Semi-Urban,Slow,6,521.66,308.21,160.78,15.7,9.27
Mizoram,Aizawl,18991,3667,32364,6067,35660,45493,16603,27167,Power Station,IOCL,Commercial,CCS,16,72,Semi-Urban,Fast,2,694.78,337.04,234.17,8.82,14.12
Haryana,Gurgaon,36933,21297,23986,36485,17812,38489,43310,9941,Charge Point,BPCL,Commercial,CHAdeMO,290,73,Rural,Ultra Fast,3,770.41,440.77,339.57,18.46,2.59
Maharashtra,Mumbai,16227,34832,16551,37744,3453,26056,33023,9783,FastCharge,EVRE,Private,GB/T,155,74,Rural,Slow,8,424.06,329.38,139.68,4.48,7.93
Gujarat,Surat,20236,46306,7605,36899,45801,15200,41223,43840,EV Hub,Tata Power,Private,CHAdeMO,324,75,Semi-Urban,Ultra Fast,17,564.09,26.8,15.12,0.43,9.82
Odisha,Bhubaneswar,7817,27752,11856,30517,45603,34277,1582,5817,FastCharge,Fortum,Public,Type 2,264,76,Urban,Slow,22,337.35,101.96,34.4,2.15,1.24
Chandigarh,Chandigarh,4635,46137,1575,9443,13185,212,19821,15599,Power Station,Ather Energy,Private,CCS,106,77,Rural,Ultra Fast,40,383.85,471.4,180.95,11.74,12.06
Kerala,Kochi,38135,3865,22049,15182,27398,20786,18434,24174,Green Charge,Ather Energy,Public,Type 2,154,78,Urban,Fast,26,695.02,395.53,274.9,14.92,4.82
Ladakh,Leh,48828,48914,34043,16849,43821,2358,1022,48901,FastCharge,Tata Power,Private,CCS,338,79,Urban,Fast,7,293.39,409.72,120.21,5.44,7.27
Bihar,Gaya,39230,17627,35462,13986,2297,17112,45961,20255,Charge Point,BPCL,Public,GB/T,203,80,Rural,Fast,19,410.52,30.26,12.42,0.79,3.12
Manipur,Imphal,38706,20033,5243,25960,34579,2105,5167,46697,EV Hub,IOCL,Private,CCS,56,81,Highway,Ultra Fast,36,712.67,91.05,64.89,5.21,13.72
Sikkim,Gangtok,40392,47111,4150,577,15523,38279,48578,23808,Charge Point,Fortum,Public,CHAdeMO,55,82,Semi-Urban,Slow,33,488.23,411.66,200.98,20.02,1.34
Jammu and Kashmir,Srinagar,6316,48368,10724,10813,45816,32756,25882,46102,Charge Point,Tata Power,Commercial,Type 2,316,83,Urban,Slow,15,251.71,163.43,41.14,2.72,10.72
Nagaland,Kohima,49410,8499,1036,18695,31465,12342,29166,20176,Power Station,ChargeZone,Commercial,Type 2,190,84,Semi-Urban,Ultra Fast,14,608.01,426.22,259.15,25.12,3.68
Delhi,New Delhi,45810,24739,14439,18727,49086,11853,13322,22339,EV Hub,EVRE,Private,Type 2,182,85,Semi-Urban,Ultra Fast,46,620.23,199.8,123.92,4.11,8.28
Rajasthan,Udaipur,4553,7290,16145,33445,39470,4301,16524,20920,FastCharge,BPCL,Commercial,CCS,86,86,Urban,Slow,14,393.39,31.53,12.4,0.82,4.32
Karnataka,Bangalore,48987,4499,33633,10889,20202,6007,44513,36621,EV Hub,ChargeZone,Commercial,CHAdeMO,297,87,Urban,Ultra Fast,48,364.2,216.78,78.95,7.67,13.55
Assam,Guwahati,43062,3255,2404,27446,31677,13304,29151,40057,FastCharge,ChargeZone,Public,CCS,315,88,Semi-Urban,Slow,26,407.93,387.23,157.96,2.54,11.7
Meghalaya,Shillong,43181,7450,9329,17613,46849,30399,11098,43654,Power Station,EVRE,Commercial,Type 2,139,89,Rural,Ultra Fast,8,292.83,12.81,3.75,0.13,12.51
Delhi,New Delhi,39821,31480,43443,7949,43893,25751,8034,20735,Charge Point,Tata Power,Private,CCS,307,90,Urban,Slow,2,666.03,282.47,188.13,12.47,2.38
Chhattisgarh,Raipur,13265,18905,31482,29599,24924,18546,34594,9561,FastCharge,Tata Power,Public,CCS,270,91,Semi-Urban,Fast,10,641.91,362.09,232.43,12.26,3.63
Maharashtra,Nagpur,9057,26454,18419,12536,41095,38904,38098,28985,FastCharge,EVRE,Private,Type 2,10,92,Urban,Slow,12,530.2,191.38,101.47,8.53,3.9
Bihar,Patna,32212,46246,10769,48390,33506,10211,1183,44355,Charge Point,Fortum,Commercial,CHAdeMO,272,93,Semi-Urban,Fast,1,627.96,241,151.34,7.05,1.67
Goa,Margao,15813,4522,40721,4443,37978,45840,20448,36693,Power Station,IOCL,Commercial,CCS,326,94,Highway,Fast,18,657.29,23.62,15.53,1.03,14.57
Assam,Guwahati,16003,29949,7275,4184,18557,32917,17100,9535,Power Station,ChargeZone,Private,CHAdeMO,98,95,Rural,Slow,28,378.54,340.96,129.07,2.91,4.16
Odisha,Bhubaneswar,13561,15853,7396,12509,11671,40256,29333,46544,EV Hub,BPCL,Commercial,GB/T,74,96,Urban,Slow,18,537.83,93.08,50.06,3.98,14.02
Uttarakhand,Dehradun,22777,47357,21880,32926,4633,34042,15635,10968,FastCharge,IOCL,Commercial,CHAdeMO,149,97,Semi-Urban,Ultra Fast,49,379.78,250.95,95.31,1.03,8.06
Assam,Silchar,49234,32627,11711,15011,43999,40637,18053,27624,Charge Point,BPCL,Private,GB/T,221,98,Highway,Slow,44,244.25,378.69,92.5,2.58,5.06
Manipur,Imphal,5060,13377,27385,12026,1655,18026,34599,47765,Charge Point,EVRE,Public,Type 2,57,99,Rural,Slow,10,275.62,231.42,63.78,1.41,6.31
Nagaland,Kohima,4119,1110,338,44167,21377,27947,38167,16706,Charge Point,Fortum,Public,Type 2,203,100,Highway,Fast,39,378.9,186.78,70.77,0.93,3.83
Haryana,Gurgaon,40777,4840,7838,29094,14921,17376,44980,44438,Power Station,ChargeZone,Commercial,CCS,307,101,Urban,Fast,44,222.54,12.63,2.81,0.22,14.38
Tamil Nadu,Coimbatore,13529,27812,3554,9982,45054,47976,32732,3421,EV Hub,Fortum,Public,Type 2,28,102,Rural,Fast,4,370.59,399.05,147.88,2.36,9.36
Gujarat,Surat,46945,22542,41692,31995,45385,28421,46254,24596,EV Hub,ChargeZone,Public,Type 2,98,103,Semi-Urban,Fast,35,466.06,427.89,199.42,2.27,9.66
Tripura,Agartala,19441,2141,37989,30487,387,35461,36380,27919,FastCharge,ChargeZone,Public,CCS,349,104,Rural,Ultra Fast,37,225.73,457.24,103.21,2.52,13.31
Sikkim,Gangtok,31550,30298,29243,2188,31079,38416,17909,29725,EV Hub,ChargeZone,Private,CCS,242,105,Urban,Ultra Fast,35,339.96,65.22,22.17,0.88,3.74
Manipur,Imphal,20017,10021,11243,34720,28025,18178,34155,31419,Green Charge,EVRE,Private,Type 2,203,106,Urban,Slow,8,601.86,403.47,242.83,16.07,1.91
Kerala,Trivandrum,32176,46779,36037,43602,21465,43139,8989,31465,Power Station,BPCL,Commercial,GB/T,148,107,Urban,Slow,9,667.31,179.13,119.54,11.47,8.47
Himachal Pradesh,Shimla,11600,4998,47109,33583,16384,23698,46698,22698,FastCharge,ChargeZone,Public,CCS,262,108,Highway,Fast,34,640.53,314.56,201.49,11.8,4.73
Karnataka,Bangalore,4164,26340,22073,7071,35971,27054,33015,46278,Charge Point,IOCL,Private,GB/T,155,109,Urban,Fast,25,758.12,386.7,293.17,28.58,5.52
Sikkim,Gangtok,31122,3902,42415,44697,48577,21586,18277,21132,Charge Point,IOCL,Public,Type 2,66,110,Highway,Ultra Fast,40,533.22,24.73,13.19,0.14,11.55
Himachal Pradesh,Shimla,20162,32387,21886,39142,20920,45946,33998,29329,Charge Point,Ather Energy,Commercial,Type 2,263,111,Rural,Ultra Fast,7,249.04,16.03,3.99,0.34,0.38
West Bengal,Kolkata,34379,21125,49421,25095,5084,15675,19591,39230,FastCharge,Tata Power,Commercial,CHAdeMO,250,112,Urban,Ultra Fast,29,487.4,332.19,161.91,14.89,7.29
Madhya Pradesh,Bhopal,16555,5276,47794,22360,28551,42552,31786,30090,Power Station,Ather Energy,Public,CHAdeMO,277,113,Urban,Ultra Fast,3,586.39,102.34,60.01,2.96,7.93
Meghalaya,Shillong,29299,40637,15069,39018,6622,40405,42343,21052,FastCharge,IOCL,Public,Type 2,169,114,Urban,Fast,12,598.57,18.39,11.01,0.72,6.48
Goa,Panaji,24338,4588,14041,15245,4238,16619,20052,45882,Green Charge,Ather Energy,Private,GB/T,164,115,Rural,Fast,35,490.4,65.18,31.96,1.03,0.87
Mizoram,Aizawl,27921,32572,49862,46999,24450,42069,29438,16606,Power Station,Ather Energy,Commercial,CHAdeMO,252,116,Semi-Urban,Fast,46,343.12,495.77,170.11,2.41,3.51
Jammu and Kashmir,Srinagar,3107,48718,25032,13257,39983,18499,26917,31934,Charge Point,IOCL,Private,CCS,204,117,Rural,Fast,11,448.86,265.88,119.34,2.37,12.48
Chandigarh,Chandigarh,19707,46156,30658,5498,13492,29809,17906,41028,Green Charge,IOCL,Public,Type 2,172,118,Urban,Fast,16,359.29,188.54,67.74,5.71,3.63
Andaman and Nicobar Islands,Port Blair,37588,19111,28352,28745,22917,19450,44579,12067,FastCharge,EVRE,Commercial,CCS,212,119,Rural,Ultra Fast,21,567.58,189.4,107.5,8.16,5.1
Assam,Guwahati,40353,1311,18540,26981,47948,10839,2547,1391,Green Charge,Ather Energy,Private,CHAdeMO,160,120,Highway,Fast,30,403.78,94.75,38.26,2.68,13.97
Maharashtra,Nagpur,41560,4153,44784,30976,17455,28849,9942,41517,EV Hub,EVRE,Public,Type 2,295,121,Semi-Urban,Ultra Fast,9,356.11,489.74,174.4,15.95,0.66
Bihar,Gaya,35823,18221,24903,14405,49143,21468,35201,38916,FastCharge,BPCL,Commercial,CCS,276,122,Rural,Ultra Fast,45,701,292.06,204.73,19.06,13.79
Tripura,Agartala,49343,21848,22739,24256,33542,18655,24318,49804,Green Charge,IOCL,Private,CHAdeMO,273,123,Semi-Urban,Slow,48,664.15,361.4,240.02,4.22,1.83
Andaman and Nicobar Islands,Port Blair,37203,5774,31955,8285,46170,20132,9130,33008,Green Charge,EVRE,Commercial,CHAdeMO,332,124,Highway,Ultra Fast,37,408.27,475.67,194.2,18.74,7.38
West Bengal,Kolkata,4974,44471,41750,12243,33718,20579,45422,26768,Charge Point,BPCL,Private,CHAdeMO,333,125,Urban,Ultra Fast,20,779.45,280.19,218.39,3.7,10.34
Jammu and Kashmir,Jammu,4292,1867,44227,40852,11615,40156,377,48700,Green Charge,ChargeZone,Private,CHAdeMO,248,126,Urban,Slow,3,528.24,358.62,189.44,16.65,5.2
Ladakh,Leh,13792,36957,36984,18166,21390,12739,30106,1562,Green Charge,IOCL,Commercial,GB/T,297,127,Semi-Urban,Slow,34,698.86,251.19,175.55,16.11,14.49
Assam,Guwahati,29672,15828,33479,5735,30247,10237,46064,35942,Green Charge,BPCL,Commercial,CHAdeMO,154,128,Urban,Ultra Fast,8,357.19,30.89,11.03,0.38,9.89
Andhra Pradesh,Visakhapatnam,20011,16707,19168,3810,29075,43494,18987,37843,Charge Point,Fortum,Public,Type 2,267,129,Rural,Ultra Fast,25,787.12,40.81,32.12,2.04,6.16
Nagaland,Kohima,22052,9680,2451,41714,1525,17330,35905,29081,Green Charge,ChargeZone,Commercial,CHAdeMO,184,130,Highway,Ultra Fast,29,552.8,128.6,71.09,3.88,14.04
Jammu and Kashmir,Jammu,6694,31135,44017,35796,2636,4637,44559,19936,FastCharge,Fortum,Public,GB/T,302,131,Rural,Slow,38,641.24,356.54,228.63,5.45,8.17
Jharkhand,Ranchi,41937,35229,36459,42448,13465,5232,25051,26559,FastCharge,Tata Power,Private,GB/T,194,132,Urban,Ultra Fast,3,308.75,375.73,116.01,10.51,5.66
Rajasthan,Jaipur,14719,49215,17695,15619,29509,48757,16475,27157,Green Charge,Tata Power,Private,CHAdeMO,249,133,Highway,Ultra Fast,30,256.02,365.13,93.48,5.43,10.93
Arunachal Pradesh,Itanagar,25693,6479,28741,41509,45478,26594,42819,40634,FastCharge,Ather Energy,Private,GB/T,210,134,Semi-Urban,Fast,39,221.62,224.64,49.78,2.66,5.01
Karnataka,Mysore,14926,34969,44582,18880,283,26153,8200,21172,Charge Point,Tata Power,Commercial,GB/T,275,135,Rural,Ultra Fast,1,328.91,413.84,136.12,12.33,10.57
Kerala,Kochi,44785,38500,26693,16198,29727,6444,2702,39788,Green Charge,Tata Power,Public,Type 2,169,136,Urban,Fast,30,613.46,305.04,187.13,7.52,1.77
Arunachal Pradesh,Itanagar,41420,48709,17097,45111,46613,6346,20900,31899,Power Station,IOCL,Commercial,GB/T,264,137,Semi-Urban,Ultra Fast,3,707.1,458.58,324.26,9.67,2.59
West Bengal,Kolkata,2739,37694,35845,36347,21970,25495,20132,32754,EV Hub,ChargeZone,Private,GB/T,103,138,Urban,Fast,44,756.25,358.41,271.05,24.44,6.03
Nagaland,Kohima,34042,7470,41738,48585,39536,49799,7628,1138,FastCharge,Ather Energy,Private,GB/T,76,139,Semi-Urban,Fast,14,590.91,266.05,157.21,2.95,6.42
Madhya Pradesh,Indore,2777,7526,41264,20531,32358,38294,40592,29387,FastCharge,Ather Energy,Public,Type 2,294,140,Urban,Fast,20,516.18,324.72,167.61,15.27,9.08
Maharashtra,Mumbai,41007,45830,7217,43139,28955,44829,738,35866,Charge Point,EVRE,Public,Type 2,125,141,Urban,Ultra Fast,2,582,429.04,249.7,4.66,0.67
Goa,Margao,39496,39488,32339,13013,9359,4061,35353,325,Power Station,Ather Energy,Commercial,CCS,30,142,Highway,Slow,25,723.75,480.55,347.8,6.58,12.7
Tamil Nadu,Chennai,47682,17809,46017,39504,7319,1074,11990,7526,EV Hub,IOCL,Commercial,GB/T,46,143,Semi-Urban,Slow,17,360.51,198.72,71.64,4.63,7.3
Andhra Pradesh,Visakhapatnam,45630,6265,6800,19485,38614,47941,39259,43586,FastCharge,EVRE,Private,GB/T,345,144,Rural,Slow,2,728.93,142.6,103.95,6.52,11.33
Puducherry,Puducherry,14927,20283,9931,41974,15494,22702,18047,37467,Power Station,Fortum,Private,CCS,129,145,Rural,Fast,49,659.72,76.04,50.17,2.95,4.17
